question_id,question,answer,score
9,متى تولى الملك الحسن الثاني حكم المغرب,الملك الحسن الثاني صار حاكمًا للمغرب في 1961.,1
9,متى تولى الملك الحسن الثاني حكم المغرب,بدأ حكم الملك الحسن الثاني في المغرب في العام 1961.,1
9,متى تولى الملك الحسن الثاني حكم المغرب,في سنة 1961، تولى الملك الحسن الثاني الحكم في المملكة المغربية.,1
9,متى تولى الملك الحسن الثاني حكم المغرب,المغرب كان تحت حكم الملك الحسن الثاني اعتبارًا من عام 1961.,1
9,متى تولى الملك الحسن الثاني حكم المغرب,تم تنصيب الملك الحسن الثاني حاكمًا للمغرب في 1961.,1
9,متى تولى الملك الحسن الثاني حكم المغرب,في عام 1961، تولى الملك الحسن الثاني الحكم في البلاد.,1
9,متى تولى الملك الحسن الثاني حكم المغرب,حكم الملك الحسن الثاني في المغرب بدأ في 1961.,1
9,متى تولى الملك الحسن الثاني حكم المغرب,1961,1
10,ماهي الأسر التي حكمت المغرب,شهد المغرب حكم العديد من الأسر الحاكمة بينها الأدارسة، المرابطون، الموحدون، الوطاسية، السعديون، والعلويون.,1
10,ماهي الأسر التي حكمت المغرب,تعاقبت على حكم المغرب العديد من الأسر الحاكمة مثل الأدارسة، المرابطون، الموحدون، الوطاسية، السعديون، والعلويون.,1
10,ماهي الأسر التي حكمت المغرب,عرفت المغرب حكم عدة أسر، منها الأدارسة، المرابطون، الموحدون، الوطاسية، السعديون، والعلويون.,1
10,ماهي الأسر التي حكمت المغرب,حكمت الأدارسة، المرابطون، الموحدون، الوطاسية، السعديون، والعلويون دولة المغرب.,1
10,ماهي الأسر التي حكمت المغرب,تعاقبت على الحكم في المغرب الأسر الحاكمة العديدة، بينها الأدارسة، المرابطون، الموحدون، الوطاسية، السعديون، والعلويون.,1
10,ماهي الأسر التي حكمت المغرب,عرفت الأراضي المغربية حكم العديد من الأسر، بينها الأدارسة، المرابطون، الموحدون، الوطاسية، السعديون، والعلويون.,1
10,ماهي الأسر التي حكمت المغرب,شهدت المملكة المغربية حكم العديد من الأسر الحاكمة، من بينها الأدارسة، المرابطون، الموحدون، الوطاسية، السعديون، والعلويون.,1
10,ماهي الأسر التي حكمت المغرب,تعاقبت الأسر الحاكمة المختلفة، بما في ذلك الأدارسة، المرابطون، الموحدون، الوطاسية، السعديون، والعلويون، على حكم المملكة المغربية.,1
10,ماهي الأسر التي حكمت المغرب,عرف المغرب حكم العديد من الأسر الحاكمة، بينها الأدارسة، المرابطون، الموحدون، الوطاسية، السعديون، والعلويون.,1
10,ماهي الأسر التي حكمت المغرب,شهدت الأراضي المغربية حكم أسر متعددة، ومنها الأدارسة، المرابطون، الموحدون، الوطاسية، السعديون، والعلويون.,1
